Relation-Commerciale,1289,"Accueil très agréable et c'est la seule chose que je retiendrais. Prise en charge, après un certain temps d'attente, par un vendeur au service client plus que détestable, pas d'écoute des demandes, des explications plus que médiocres sur les différents téléphones proposés et quand on demande de voir le téléphone, enfin choisi, je trouve assez dommage que la réponse donnée soit ""il est au fond présenté "" sans que le vendeur daigne se déplacer... Je voulais pourtant changer de téléphone. Je suis reparti sans...  Je ne remettrai plus les pieds dans cette boutique."
Relation-Commerciale,807,"D'une incompétence incroyable et d'un amabilité déplorable. C'est la troisième fois que je m'y rend en tant que pro, et c'est la troisième fois qu'ils n'ont  pas ce qu'il faut: carte SIM, box Orange... Et ils ne peuvent soit disant aps appeler un autre boutique Orange pour vérifier que le matériel soit en stock là bas..."
Probl�me-Technique,687,No pueden solucionar ningún problema con SIM CARDS que pertenecen a ellos. Malísima la atención!
Accueil-politesse,976,Excellent accueil mais surtout grande disponibilité des vendeurs et grandes compétences dans le domaine technique. Boutique dont le fonctionnement est hors du commun.
Temps-Attente,636,"Service deplorable. Je me rends en boutique pour échanger une box défectueuse. J'ai commandé la box de remplacement en ligne et reçu une notification comme quoi elle était arrivée.  J'ai attendu 30 minutes en boutique pour qu'un personnel malpoli m'explique que mon colis n'est pas arrivé. Selon lui, si j'ai reçu un SMS comme quoi le colis est arrivé aujourd'hui, c'est qu'il arrivera demain. Sa logique me dépasse."
Accueil-politesse,2029,Bon vendeurs à l'écoute et sympathique.
Temps-Attente,1512,Personnel super compétent très peu d’attente j’ai rien à dire autre chose que allez y les yeux fermés
Accueil-politesse,2219,orange opéra beaucoup mieux que orange champ Élysée j'avais l'impression de parler à un mûr je parlais tout seul !!!
Accueil-politesse,663,Le personnel est vraiment TRÈS désagréable ! C’est la pire boutique Orange. Ils font pas leur travail ils ont que le mot NON dans leur bouche à croire qu’il nous rendent service !
Relation-Commerciale,1842,"Suite à l'achat d'un film verre (cache) XPERIA, je vais à la boutique pour la 3ème fois,  vers les 18h ce mercerdi ,afin de rencontrer Le responsable qui est en entretien tél,  l'un des vendeurs me dit de revenir ds 1/4 , après je le croise dans le magasin il faisait l'inventaire, c'est tout juste si moi j'allais pas prendre aussi ma douche !!! Il me bloque cache en me disant je ne rembourse rien, je n'avais même ouvert la bouche..il prend même pas la peine d'écouter, aucun respect alors que je me suis adressée au SAV de xpéria, qui m'ont recommandé d'aller en boutique...tout le monde se renvoie la balle, mais pour un responsable il est utile de savoir écouter ou communiquer, maintenant que j'ai croisé le responsable je comprends la bonne humeur de ce magasin...c'est un pti monsieur quelconque d'une 50è d'années voir plus, dégarni et aucuns sourires..Il faisait l'inventaire trop préoccupé par ses responsabilités...Je comprends pourquoi j'ai pas envie de rester chez ORANGE"
